,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
96,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,special gift,26.353489,50.203007,Flower Shop
97,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,Mustang Cafe (موستنج كافيه),26.34804,50.205185,Café
98,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,شركة سوليدرتي السعودية للتكافل,26.349928,50.200215,Insurance Office
99,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,Studio 3ainMedia,26.352419,50.20001,Photography Studio
100,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,Baskin Ribbens,26.3544921875,50.203487396240234,Ice Cream Shop
101,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,بوفية الشاعر,26.35361,50.200501,Breakfast Spot
102,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,بقالة نايف,26.35229637004319,50.19938137291342,Grocery Store
103,Ar Rakah Al Janubiyah Dist.,26.350680400337087,50.203745644269645,Fitness Time (وقت اللياقة),26.354953632147097,50.20290097884355,Gym
104,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Al Ennabi Grill (مشاوي العنابي),26.295150102349126,50.21484549023279,Middle Eastern Restaurant
105,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Wahed Falafel (واحد فلافل),26.2956037608467,50.214627173142205,Falafel Restaurant
106,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Dips Factory (دبس فاكتوري),26.29367828932637,50.21253566239222,Dessert Shop
107,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,فقيه الأناقة للخياطة الرجالية,26.29246326786461,50.21552215070861,Tailor Shop
108,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Mama Rabab Seafood.,26.295269,50.214577,Seafood Restaurant
109,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Shajarat Al-Durr,26.29324692025249,50.21789718701491,Egyptian Restaurant
110,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Bawabt Dimashk (بوابة دمشق),26.29716161606563,50.21529234263532,Middle Eastern Restaurant
111,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Offside,26.293279239375753,50.213697918134024,Sporting Goods Shop
112,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Belad Al-Sham (مشویات بلاد الشام),26.297090314201945,50.216002426978385,Middle Eastern Restaurant
113,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Happy Land,26.293114278725984,50.214715613458885,Fried Chicken Joint
114,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,بوفية روان,26.290691023254606,50.21261750478874,Indian Restaurant
115,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Eggs’O (إيقز'و),26.295451172510557,50.21845852136701,Breakfast Spot
116,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Grand Marbia (جراند ماربيا),26.291759274203567,50.21673640793758,Hostel
117,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,بوفية السعادة,26.298094,50.213306,Breakfast Spot
118,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Rose Valley (روز ڤالي),26.296736,50.217496,Coffee Shop
119,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Al-Shaikh Tailor & Uniforms (خياط الشيخ),26.29311574573831,50.217959092334176,Tailor Shop
120,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Party Land,26.296590169777414,50.21642931415629,Gift Shop
121,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,شجرة الدر,26.293301,50.217834,Egyptian Restaurant
122,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Diva Turkish Furniture,26.294623968435367,50.21427069434946,Furniture / Home Store
123,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,الروائع,26.29676162165381,50.21623710075565,Furniture / Home Store
124,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Bake N Take (بيك ان تيك),26.2981633656306,50.213515964738555,Dessert Shop
125,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,"Style Brbrshop""barakat""",26.297162403704565,50.21322085998024,Arts & Crafts Store
126,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Al Fawar (الفوار),26.297878680213373,50.21665328748891,Turkish Restaurant
127,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Rashid Sweets,26.295903,50.211272,Bakery
128,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Mast Biryani,26.29502371751036,50.211410553558345,Pakistani Restaurant
129,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Starbucks (ستاربكس),26.293908,50.2188,Coffee Shop
130,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,خبز وملح,26.29298656134737,50.21776532717976,Bakery
131,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Sea Flavors Restaurant,26.29663725823613,50.21806597709656,Seafood Restaurant
132,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Nai Café (ناي كافيه),26.291759470745568,50.21699269614235,Café
133,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,BISKET,26.291467,50.216875,Coffee Shop
134,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Section 13 (تقاطع ١٣),26.290568,50.217153,Burger Joint
135,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,WING A COFFEE,26.293712488380454,50.218083573070444,Coffee Shop
136,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,BlackerZ,26.293327128354147,50.21424554889799,Men's Store
137,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,STC الاتصالات السعودية,26.29359189341164,50.21417046350533,Mobile Phone Shop
138,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,La Casa Cafe,26.293109329257454,50.21819638976594,Café
139,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Costa Coffee,26.293864,50.217678,Coffee Shop
140,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,بروستد فواز,26.293188014794236,50.21373029626014,Restaurant
141,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Turkish Chef (الشيف التركي),26.292483169181725,50.21855009370818,Turkish Restaurant
142,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,هابي لاند || Broasted Chicken,26.295850648769733,50.21475348902793,Fried Chicken Joint
143,Al Khubar Ash Shamaliyah Dist.,26.29401644211008,50.214117997064186,Dhay Female Center (مركز ضي النسائي),26.297678655894824,50.214977824655655,Spa
